ICES_Area,Metier6_FishingActivity
57,DIV_MOL_0_0_0
57,FPN_LPF_>0_0_0
57,FPO_CRU_>0_0_0
57,FPO_DEF_>0_0_0
57,FPO_FIF_>0_0_0
57,LH_DEF_0_0_0
57,LH_FIF_0_0_0
57,LH_LPF_0_0_0
57,LH_MOL_0_0_0
57,LH_SPF_0_0_0
57,LHM_DEF_0_0_0
57,LHM_FIF_0_0_0
57,LHM_LPF_0_0_0
57,LHM_MOL_0_0_0
57,LHM_SPF_0_0_0
57,LHP_DEF_0_0_0
57,LHP_FIF_0_0_0
57,LHP_LPF_0_0_0
57,LHP_MOL_0_0_0
57,LHP_SPF_0_0_0
57,LLD_DWF_0_0_0
57,LLD_LPF_0_0_0
57,LLS_DEF_0_0_0
57,LLS_FIF_0_0_0
57,LLS_MOL_0_0_0
57,LLS_SPF_0_0_0
57,LTL_LPF_0_0_0
57,MIS_CEP_0_0_0
57,MIS_CRU_0_0_0
57,MIS_DEF_0_0_0
57,MIS_DWF_0_0_0
57,MIS_LPF_0_0_0
57,MIS_MCF_0_0_0
57,MIS_MIS_0_0_0
57,MIS_MOL_0_0_0
57,MIS_SPF_0_0_0
57,OTB_CEP_>=120_0_0
57,OTB_CEP_>0_0_0
57,OTB_CEP_70-119_0_0
57,OTB_CRU_>=120_0_0
57,OTB_CRU_>0_0_0
57,OTB_CRU_32-69_0_0
57,OTB_CRU_70-119_0_0
57,OTB_DEF_>=120_0_0
57,OTB_DEF_>0_0_0
57,OTB_DEF_70-119_0_0
57,OTB_MCF_>=120_0_0
57,OTB_MCF_>0_0_0
57,OTB_MCF_70-119_0_0
57,OTB_MDD_>=120_0_0
57,OTB_MDD_>0_0_0
57,OTM_DEF_>=120_0_0
57,OTM_DEF_>0_0_0
57,OTM_LPF_>=120_0_0
57,OTM_LPF_>0_0_0
57,OTM_LPF_70-119_0_0
57,OTM_MCF_>=120_0_0
57,OTM_MCF_>0_0_0
57,OTM_MCF_70-119_0_0
57,OTM_SPF_>=120_0_0
57,OTM_SPF_>0_0_0
57,OTM_SPF_32-69_0_0
57,OTM_SPF_70-119_0_0
57,PS_LPF_>=120_0_0
57,PS_LPF_>0_0_0
57,PS_LPF_10-31_0_0
57,PS_LPF_32-69_0_0
57,PS_LPF_70-119_0_0
57,PS_SPF_>=120_0_0
57,PS_SPF_>0_0_0
57,PS_SPF_10-31_0_0
57,PS_SPF_32-69_0_0
57,PS_SPF_70-119_0_0
57,PTM_LPF_>=120_0_0
57,PTM_LPF_>0_0_0
57,PTM_LPF_32-69_0_0
57,PTM_LPF_70-119_0_0
57,OTB_MDD_70-119_0_0
57,OTM_DEF_70-119_0_0
57,OTM_CRU_>0_0_0
57,OTM_CRU_16-31_0_0
58,DIV_MOL_0_0_0
58,FPN_LPF_>0_0_0
58,FPO_CRU_>0_0_0
58,FPO_DEF_>0_0_0
58,FPO_FIF_>0_0_0
58,LH_DEF_0_0_0
58,LH_FIF_0_0_0
58,LH_LPF_0_0_0
58,LH_MOL_0_0_0
58,LH_SPF_0_0_0
58,LHM_DEF_0_0_0
58,LHM_FIF_0_0_0
58,LHM_LPF_0_0_0
58,LHM_MOL_0_0_0
58,LHM_SPF_0_0_0
58,LHP_DEF_0_0_0
58,LHP_FIF_0_0_0
58,LHP_LPF_0_0_0
58,LHP_MOL_0_0_0
58,LHP_SPF_0_0_0
58,LLD_DWF_0_0_0
58,LLD_LPF_0_0_0
58,LLS_DEF_0_0_0
58,LLS_FIF_0_0_0
58,LLS_MOL_0_0_0
58,LLS_SPF_0_0_0
58,LTL_LPF_0_0_0
58,MIS_CEP_0_0_0
58,MIS_CRU_0_0_0
58,MIS_DEF_0_0_0
58,MIS_DWF_0_0_0
58,MIS_LPF_0_0_0
58,MIS_MCF_0_0_0
58,MIS_MIS_0_0_0
58,MIS_MOL_0_0_0
58,MIS_SPF_0_0_0
58,OTB_CEP_>=120_0_0
58,OTB_CEP_>0_0_0
58,OTB_CEP_70-119_0_0
58,OTB_CRU_>=120_0_0
58,OTB_CRU_>0_0_0
58,OTB_CRU_32-69_0_0
58,OTB_CRU_70-119_0_0
58,OTB_DEF_>=120_0_0
58,OTB_DEF_>0_0_0
58,OTB_DEF_70-119_0_0
58,OTB_MCF_>=120_0_0
58,OTB_MCF_>0_0_0
58,OTB_MCF_70-119_0_0
58,OTB_MDD_>=120_0_0
58,OTB_MDD_>0_0_0
58,OTM_DEF_>=120_0_0
58,OTM_DEF_>0_0_0
58,OTM_LPF_>=120_0_0
58,OTM_LPF_>0_0_0
58,OTM_LPF_70-119_0_0
58,OTM_MCF_>=120_0_0
58,OTM_MCF_>0_0_0
58,OTM_MCF_70-119_0_0
58,OTM_SPF_>=120_0_0
58,OTM_SPF_>0_0_0
58,OTM_SPF_32-69_0_0
58,OTM_SPF_70-119_0_0
58,PS_LPF_>=120_0_0
58,PS_LPF_>0_0_0
58,PS_LPF_10-31_0_0
58,PS_LPF_32-69_0_0
58,PS_LPF_70-119_0_0
58,PS_SPF_>=120_0_0
58,PS_SPF_>0_0_0
58,PS_SPF_10-31_0_0
58,PS_SPF_32-69_0_0
58,PS_SPF_70-119_0_0
58,PTM_LPF_>=120_0_0
58,PTM_LPF_>0_0_0
58,PTM_LPF_32-69_0_0
58,PTM_LPF_70-119_0_0
58,OTB_MDD_70-119_0_0
58,OTM_DEF_70-119_0_0
58,OTM_CRU_>0_0_0
58,OTM_CRU_16-31_0_0
61,DIV_MOL_0_0_0
61,FPN_LPF_>0_0_0
61,FPO_CRU_>0_0_0
61,FPO_DEF_>0_0_0
61,FPO_FIF_>0_0_0
61,LH_DEF_0_0_0
61,LH_FIF_0_0_0
61,LH_LPF_0_0_0
61,LH_MOL_0_0_0
61,LH_SPF_0_0_0
61,LHM_DEF_0_0_0
61,LHM_FIF_0_0_0
61,LHM_LPF_0_0_0
61,LHM_MOL_0_0_0
61,LHM_SPF_0_0_0
61,LHP_DEF_0_0_0
61,LHP_FIF_0_0_0
61,LHP_LPF_0_0_0
61,LHP_MOL_0_0_0
61,LHP_SPF_0_0_0
61,LLD_DWF_0_0_0
61,LLD_LPF_0_0_0
61,LLS_DEF_0_0_0
61,LLS_FIF_0_0_0
61,LLS_MOL_0_0_0
61,LLS_SPF_0_0_0
61,LTL_LPF_0_0_0
61,MIS_CEP_0_0_0
61,MIS_CRU_0_0_0
61,MIS_DEF_0_0_0
61,MIS_DWF_0_0_0
61,MIS_LPF_0_0_0
61,MIS_MCF_0_0_0
61,MIS_MIS_0_0_0
61,MIS_MOL_0_0_0
61,MIS_SPF_0_0_0
61,OTB_CEP_>=120_0_0
61,OTB_CEP_>0_0_0
61,OTB_CEP_70-119_0_0
61,OTB_CRU_>=120_0_0
61,OTB_CRU_>0_0_0
61,OTB_CRU_32-69_0_0
61,OTB_CRU_70-119_0_0
61,OTB_DEF_>=120_0_0
61,OTB_DEF_>0_0_0
61,OTB_DEF_70-119_0_0
61,OTB_MCF_>=120_0_0
61,OTB_MCF_>0_0_0
61,OTB_MCF_70-119_0_0
61,OTB_MDD_>=120_0_0
61,OTB_MDD_>0_0_0
61,OTM_DEF_>=120_0_0
61,OTM_DEF_>0_0_0
61,OTM_LPF_>=120_0_0
61,OTM_LPF_>0_0_0
61,OTM_LPF_70-119_0_0
61,OTM_MCF_>=120_0_0
61,OTM_MCF_>0_0_0
61,OTM_MCF_70-119_0_0
61,OTM_SPF_>=120_0_0
61,OTM_SPF_>0_0_0
61,OTM_SPF_32-69_0_0
61,OTM_SPF_70-119_0_0
61,PS_LPF_>=120_0_0
61,PS_LPF_>0_0_0
61,PS_LPF_10-31_0_0
61,PS_LPF_32-69_0_0
61,PS_LPF_70-119_0_0
61,PS_SPF_>=120_0_0
61,PS_SPF_>0_0_0
61,PS_SPF_10-31_0_0
61,PS_SPF_32-69_0_0
61,PS_SPF_70-119_0_0
61,PTM_LPF_>=120_0_0
61,PTM_LPF_>0_0_0
61,PTM_LPF_32-69_0_0
61,PTM_LPF_70-119_0_0
61,OTB_MDD_70-119_0_0
61,OTM_DEF_70-119_0_0
61,OTM_CRU_>0_0_0
61,OTM_CRU_16-31_0_0
67,DIV_MOL_0_0_0
67,FPN_LPF_>0_0_0
67,FPO_CRU_>0_0_0
67,FPO_DEF_>0_0_0
67,FPO_FIF_>0_0_0
67,LH_DEF_0_0_0
67,LH_FIF_0_0_0
67,LH_LPF_0_0_0
67,LH_MOL_0_0_0
67,LH_SPF_0_0_0
67,LHM_DEF_0_0_0
67,LHM_FIF_0_0_0
67,LHM_LPF_0_0_0
67,LHM_MOL_0_0_0
67,LHM_SPF_0_0_0
67,LHP_DEF_0_0_0
67,LHP_FIF_0_0_0
67,LHP_LPF_0_0_0
67,LHP_MOL_0_0_0
67,LHP_SPF_0_0_0
67,LLD_DWF_0_0_0
67,LLD_LPF_0_0_0
